;topik;berita
58;Berita dan Politik;"				Satpol PP Ramai-ramai ke SDN Pocin 1, Jl Margonda Arah Depok Macet!			"
59;Berita dan Politik;"				Debat Panas dengan Ortu Siswa SDN Pocin 1, Satpol PP: Kami Ingin Amankan Aset			"
60;Berita dan Politik;"				Seks Tanpa Nikah Bisa Dipenjara 1 Tahun, Bagaimana Aturannya?			"
61;Berita dan Politik;"				Jangan Nyinyir! Ini Alasan Kaesang-Erina Dapat KTP dan KK Baru Usai Nikah			"
62;Berita dan Politik;"				IG Nadya Arafita Diserbu Usai Pernikahan Kaesang Pangarep dengan Erina Gudono			"
63;Berita dan Politik;"				Legenda Keroncong, Waldjinah Menerima Gelar Tanda Kehormatan dari Presiden			"
64;Berita dan Politik;"				KOLOM ANDI SURUJI: The Dreamers Morocco Make It Happen			"
65;Berita dan Politik;"				Anies Baswedan Bicara Peluang Koalisi Nasdem dengan Demokrat dan PKS			"
66;Berita dan Politik;"				Demonstran Tuding TNI-Polri Bungkam Demokrasi Demo HAM, Kapolres Manokwari: Tidak ada			"
67;Berita dan Politik;"				6 Kebijakan Memorable Gubernur Jakarta periode 2017 - 2022			"
68;Berita dan Politik;"				Jokowi Endors Capres tertentu, BEM UNDIP Khawatir Abuse of Power			"
69;Berita dan Politik;"				Soal Pasal Seks UU KUHP, AS-Australia & PBB Beri Warning RI			"
70;Berita dan Politik;"				Panglima TNI: Pangeran Arab Saudi Datang ke Tasyakuran Kaesang-Erina			"
71;Berita dan Politik;"				Jor-joran Tambang Nikel di Maluku Utara, China Untung Rp50 Triliun Setahun			"
72;Berita dan Politik;"				Se-Indonesia Diprank, Ini Profil Kowad Cantik yang Mengaku Diperkosa			"
73;Sejarah & Xenology;"				Rise of Evil, Adolf Hitler			"
74;Berita dan Politik;"				Paulus Waterpauw Kecam KKB : Kalau Mau Makan, Bilang Sama Kita, Jangan Main Bunuh			"
75;Berita dan Politik;"				Fasilitasi pembangunan gedung MUI Jatim, Gubernur Khofifah siapkan dana Rp 50 miliar			"
76;Militer;"				MiG-21 Kroasia Jatuh Saat Latihan, Kedua Pilot Selamat			"
77;Sains & Teknologi;"				""Kromosom Y Lama-Lama Lenyap, Laki-Laki Bisa Punah?""			"
78;Berita dan Politik;"				Mohammad Idris Raih Penghargaan Wali Kota Berkinerja Baik, Warganet: Bayar Berapa?			"
79;Berita dan Politik;"				Kemnaker Minta Ada Dialog Bipartit: PHK Jalan Paling Akhir			"
80;Berita dan Politik;"				Felicia Tissue Unggah Pesan Manis Jelang Kaesang & Erina Nikah			"
